,median,STD,mean
Bias,0.010000000000000004,1317.0868098007677,-141.72481427818747
RMSE,0.010000000000000002,2851.377139200713,347.4646940257165
ubRMSE,1.734723475976807e-18,2529.9787302692657,309.0102593808034
Corr,,,
R2,1.2244789081915477e-33,8.966967078628174e-33,4.477787180920044e-33
NSE,-inf,,-inf
R2_res,0.026069030188420394,0.3181845749907055,0.181422897026414
FLV,inf,,inf
FHV,inf,,inf
PBias,inf,,inf
Biasflat,-141.7248142781874,0.0,-141.7248142781874
NSE_res,-inf,,-inf
absBiasflat,141.74161176238138,0.0,141.74161176238138
RMSEflat,2872.469896021684,0.0,2872.469896021684
ubRMSEflat,2868.971484795315,0.0,2868.971484795315
corrflat,,,
NSEflat,-0.0024402781404841978,0.0,-0.0024402781404841978
PBias_res,inf,,inf
Corr_res,-0.0005547677306108056,0.43478698418905865,0.10904592516978441
