,median,STD,mean
Bias,7.207852627103872e+49,1.421274080190739e+95,1.1843950668256161e+94
RMSE,1.0293467310538835e+50,5.469864544636233e+95,4.5582204538635276e+94
ubRMSE,6.051549247865352e+49,5.281988084580134e+95,4.401656737150112e+94
Corr,-0.004646025432778957,0.2153212405933076,0.0024391717340546855
R2,0.0056297602616754185,0.10962602376665868,0.04636918620938926
NSE,-7.641894431484904e+96,inf,-1.0659930400211019e+186
FLV,2.331656313610225e+46,6.448209425125769e+94,5.39226361061384e+93
FHV,8.370317329614694e+49,5.563616789538201e+94,4.652530086992638e+93
PBias,7.962108087793771e+49,3.5025158430970074e+94,2.9187632025808434e+93
Biasflat,3.090977776842406e+93,0.0,3.090977776842406e+93
absBiasflat,3.090977776842406e+93,0.0,3.090977776842406e+93
RMSEflat,2.804006222781527e+95,0.0,2.804006222781527e+95
ubRMSEflat,2.803835851656768e+95,0.0,2.803835851656768e+95
corrflat,-0.0009864642524904915,0.0,-0.0009864642524904915
NSEflat,-1.4368279136192368e+183,0.0,-1.4368279136192368e+183
