,median,STD,mean
Bias,1.4299256087153608e+154,inf,6.132947360301311e+187
RMSE,inf,,inf
ubRMSE,inf,,inf
Corr,0.05103886079725431,0.24763498392992359,0.06872505949638849
R2,0.0,0.08282830002412854,0.0381068982014295
NSE,-inf,,-inf
FLV,1.660724153459136e+155,inf,4.231445708956726e+188
FHV,1.4509277989648688e+154,inf,4.414865723940198e+187
PBias,3.6832457301293956e+154,inf,1.717269709625296e+188
Biasflat,1.1483786252354454e+187,0.0,1.1483786252354454e+187
absBiasflat,1.1483786252354454e+187,0.0,1.1483786252354454e+187
RMSEflat,inf,,inf
ubRMSEflat,,,
corrflat,-0.00540184867253281,0.0,-0.00540184867253281
NSEflat,-inf,,-inf
