,median,STD,mean
Bias,2.773401289770182e+41,1.3563263737419576e+67,7.290742700579797e+65
RMSE,1.1113355793836151e+43,7.774912722365642e+68,4.179167307632733e+67
ubRMSE,1.1111664549652442e+43,7.7737295829077e+68,4.1785313069364484e+67
Corr,-0.0011129252189040215,0.1210187343724708,0.04882409040963348
R2,4.339114081097264e-05,0.050322767442061274,0.017029325873442705
NSE,-inf,,-inf
FLV,inf,,inf
FHV,inf,,inf
PBias,inf,,inf
Biasflat,7.290742700579797e+65,0.0,7.290742700579797e+65
absBiasflat,7.290742700579797e+65,0.0,7.290742700579797e+65
RMSEflat,7.786136540946028e+68,0.0,7.786136540946028e+68
ubRMSEflat,7.786133127511105e+68,0.0,7.786133127511105e+68
corrflat,-4.464364058708835e-05,0.0,-4.464364058708835e-05
NSEflat,-2.169050038256505e+131,0.0,-2.169050038256505e+131
