,median,STD,mean
Bias,1.7810941522089796e+21,1.943978703810126e+102,1.8049389140657868e+101
RMSE,2.1062016904732187e+21,2.280030150452512e+102,2.1169548492117004e+101
ubRMSE,1.4026797785114715e+21,1.191421120387417e+102,1.1062067393086773e+101
Corr,-0.03206410493454662,0.16689950105554996,-0.07349050650333498
R2,0.003278692523519639,0.07079363892157489,0.033256297998708245
NSE,-4.042689065518761e+38,inf,-9.130333433715042e+202
FLV,1.6406080261917403e+20,2.2241637910752728e+103,2.0650842367244097e+102
FHV,8.15985079278954e+20,1.5836554683278453e+103,1.470387188735425e+102
PBias,4.891082752434376e+20,3.06346838538174e+103,2.8443589890909393e+102
Biasflat,2.7073131471126398e+101,0.0,2.7073131471126398e+101
absBiasflat,2.7073131471126398e+101,0.0,2.7073131471126398e+101
RMSEflat,2.804416529694502e+102,0.0,2.804416529694502e+102
ubRMSEflat,2.7913180806311676e+102,0.0,2.7913180806311676e+102
corrflat,-0.014255321361889235,0.0,-0.014255321361889235
NSEflat,-2.6299967836216735e+197,0.0,-2.6299967836216735e+197
