,median,STD,mean
Bias,4.3061997289069785e+59,5.797904441765303e+101,2.8495147024449973e+100
RMSE,3.0806509043171106e+60,3.323568531452512e+103,1.6334448205001845e+102
ubRMSE,2.370116792906632e+60,3.3230627760699117e+103,1.633196254296443e+102
Corr,0.0031207716492794722,0.1383621403612469,0.011082604314385772
R2,0.001597402436750366,0.03866062991595773,0.019266906003734624
NSE,-inf,,-inf
FLV,inf,,inf
FHV,inf,,inf
PBias,inf,,inf
Biasflat,2.849514702444999e+100,0.0,2.849514702444999e+100
absBiasflat,2.849514702444999e+100,0.0,2.849514702444999e+100
RMSEflat,3.327580082143417e+103,0.0,3.327580082143417e+103
ubRMSEflat,3.327578862077284e+103,0.0,3.327578862077284e+103
corrflat,-4.082785674120355e-05,0.0,-4.082785674120355e-05
NSEflat,-3.9617090018914744e+200,0.0,-3.9617090018914744e+200
