,median,STD,mean
Bias,0.009999999999985866,1.7154330610053325e+24,2.1442913475485268e+23
RMSE,0.010000000000000002,4.6348449039388474e+25,5.793556187450998e+24
ubRMSE,6.519391431777625e-06,4.631669264714397e+25,5.789586638381017e+24
Corr,-0.007390633406635208,0.021224973257757556,-0.013294897642918233
R2,6.647827656718927e-05,0.0011556971101533277,0.0005645284138153764
NSE,-inf,,-inf
R2_res,0.0011455869042800864,0.20106312323647813,0.09392856603319943
FLV,inf,,inf
FHV,inf,,inf
PBias,inf,,inf
Biasflat,2.1442913475485265e+23,0.0,2.1442913475485265e+23
NSE_res,-inf,,-inf
absBiasflat,2.1442913475485265e+23,0.0,2.1442913475485265e+23
RMSEflat,4.670914280581417e+25,0.0,4.670914280581417e+25
ubRMSEflat,4.670865060992568e+25,0.0,4.670865060992568e+25
corrflat,-0.00022729597824596259,0.0,-0.00022729597824596259
NSEflat,-6.120639904743128e+47,0.0,-6.120639904743128e+47
PBias_res,inf,,inf
Corr_res,0.0046118672696666176,0.2660342789538163,0.1521654640669901
