,median,STD,mean
Bias,0.009999999999997919,1235.3546198375539,-152.01598422149542
RMSE,0.010000000000000002,2374.6481626546756,323.606780570965
ubRMSE,1.9229755244072073e-15,2028.697510238844,280.8055565130999
Corr,0.01575235789474598,0.12742786664426067,0.02088906170113495
R2,0.0005357797382584842,0.03881488716973683,0.015249067592307344
NSE,-inf,,-inf
FLV,inf,,inf
FHV,inf,,inf
PBias,inf,,inf
Biasflat,-152.0159842214954,0.0,-152.0159842214954
absBiasflat,152.03221572928527,0.0,152.03221572928527
RMSEflat,2396.5965961819134,0.0,2396.5965961819134
ubRMSEflat,2391.770554499721,0.0,2391.770554499721
corrflat,0.0036966247805163416,0.0,0.0036966247805163416
NSEflat,-0.004039610147571482,0.0,-0.004039610147571482
